본문제목,작성일,조회수,본내용,댓글
145664 연골판봉합한지 1년지났는데 [ 14 ],2023.09.20.,534,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 의사샘이 아직 다 안붙었고 라고 말했는데 제가 그럼 계속붙고있는중이에요?? 하니까 네 라고하셨거든요 ​ 연골판이 대체로 1년지나고 2년지나고 하면서 서서히 계속붙을수가있나요?? 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크)","뭔가 좀...--->네?--->저도 안 붙어서...사실 반반 붙어서 다시 재봉합했어요.--->그래요??? 안붙었다구요??????? 저는 자리는 잘잡아있다고 하긴했는데 재봉합얘긴 따로없으셨거든요 .... 재봉합하면좋아요?--->안 붙었으니까 다시 실로 꼬맨 거여요. 저는 전방십자인데 핀제거하다 발견하거라..재봉합 후는 통증없이 생활하고 있어요.--->저도 핀제거를 해야해서 물어볼까용..... 실비청구하고 나서 한번 물어봐야겠어요!--->네 그렇게 하세용~--->재봉합 후 재활읃 다른가요?--->재활 다시 해야 해요.ㅠ--->헐...그럼 6주 못딛고 굴곡 신전 다시요?와 정말 힘든과정을 다시ㅜㅜ고생 많으셨네요ㅜ--->저는 다시 8주 못딛고 굴곡, 신전 다시 했어요. 그래도 안 붙었을때는 찌릿찌릿 아팠는데 지금 통증은 없습니다. 그치만 다시 하라면 못할 것 같네요.--->전 십자인대.연골판 내.외측 봉합한지4주차인데연골판이 짖이겨져서 1년뒤  핀제거때 안붙으면 절제해샤된다고했는데 무섭네요ㅜ--->저는 전방십자인대완파, 연골판은 수평파열..다행히 한줄로 찢어져서..적어도 12주까지는 조심하셔야 되는거 같아요. 영양제도 먹고  면역력에 좋다는 음식이랑..드시면 좋습니다. 본격적인 재활은 그때이후 빡세게 저는 했습니다--->아 3달만하고 일단 출근하려했는데ㅜㅜ12주뒤부턴 헬스장가서 근력운동도하셨나요?스포츠재활은 언제부터하신거에요?"
145663 [반월상연골판] 연골판 찢어졌는데 무릎보호대 괜찮나요? [ 3 ],2023.09.20.,157,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 밸크로로 된 무릎보호대 착용하고 있는데요 확실히 보호대 차면 무릎을 잡아줘서 좋거든요? 이게 보호대 벗을때 체감이 크네요 ​ 근데 반월상연골판 찢어지는 부상에 보호대 괜찮은지 궁금합니다",보호대는 큰 의미없다고하신 기억이 납니다--->그럼 껴도 문제되는건 없겠죠?--->브렉 OSSUR  돈조이 압박 SLEEVE
145642 [반월상연골판] 봉합/절제 선택... 뚜껑뼈는 절제(정리)만 가능한가요? [ 3 ],2023.09.20.,140,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 현재 두군데 병원을 다녀왔습니다. 한군데에서는 봉합을이야기하지만 ​ 다른 곳에서는 강력하게 정리(절제?)를 말합니다. 그래서 봉합이우선이 아니냐고 여쭤보니, ​ 부위가 뚜껑뼈 쪽이라 봉합은어렵고 절제가 맞다는데...맞는의견일까요?...고견여쭙습니다!",절제는 관절염 빨리 온다고 합니다--->봉합할 수 있음 봉합해야죠..살리는 길인데..--->무슨 말인지 도통 모르겠네요 연골은 봉합 절제란게 없어요 정리죠 연골판이 봉합 절제
145619 재활중 이상한통증 [ 7 ],2023.09.20.,246,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) 굴곡 재활할때 누워서 허벅지들고 손으로깍지끼고 종아리 최대한 내려보고 5초버티고 이 운동 반복하는데 무릎 펴질때 무릎에 뭔가 늘어나는 이상한 통증 느낌인데ㅜㅜ 이거 원래이런건가요ㅜ끊어질까봐 무서운 느낌이네요 경험담좀 부탁드립니다ㅜㅜ 재활2일차입니다","초기엔 조그만 통증에도 별에별 걱정이 다 됩니다아직 초기시니 그러려니 하면서 꾸준히 해보세여--->이런통증도 차차 없어지나요ㅜ?--->아직 초기니 꾸준히 운동하먼서 지켜보시조 지금 당장 병원가도 할게 없기도 하고  2달은 지나야 짜잘한 통증은 잡히도라고요--->예 감사합니다--->전 수술을 안해서 모르겠지만연골연화인데도 그 느낌 때문에 고통 받습니다.저는 엉덩이근육 부실, 외측광근문제로 보이는데수술도 하셨으니 주위 근육들이 긴장되거나 수축되어서 그런거 같네요.--->이느낌진짜 불편하네요ㅜ쾌차하시길 바랄게요--->초기니까 천천히 생각하시는게 좋을거 같아요"
"145612 [반월상연골판] 현재병원 MRI촬영 및 검진 후 타병원, 대학병원 추가 진료시 문의 [ 5 ]",2023.09.20.,421,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 ​ ​ 안녕하세요. 10년 전에 반월상연골 절제 및 봉합한 적이 있고 최근에 통증으로 인해 현재 관절전문병원에서 mri촬영하였고 진료중입니다. 다른병원 또는 대학병원 병원에서도 진료 보고 싶은데 ​ mri복사본, 의뢰서만 가져가면 될까요? cd복사도 실비보험처리가 되나요? ​",건강보험심사평가원 콜센터에 전화해 보세요--->아님 동네정형외과에서 진료의뢰서 발급해 달라고 하셔도 되요--->감사합니다!!--->MRI   CD랑의뢰서만  있으면 되구요CD  복사비용은 대략  1만원정도복사비용은 실비 청구 안되요--->감사합니다!!
145605 [반월상연골판] 반월상연골판 절제수술 하신분? 일상생활 바로 가능한가요? [ 30 ],2023.09.20.,395,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 회사생활하고 있어서 수술후 얼마나 입원해야되는지 일상생활은 언제부터가능한지 목발이나 보호대는 착용하는지 궁금합니다 ​ 하루종일 서서일하고 무거운것도 가끔 들일이 있는데 걱정이네요","절제 했는데 (20-30%)수술하고 발 딧이지 말라고 하는데 화장실간다고 살짝 딪여 봤는데 안아팟어요 ㅋ--->절제는 회복이 엄청 빠르군요!--->20~30%를 절제하고 70~80% 남았다는 말씀이죠? 저도 어제 수술했는데 회진때 원장님이 30%라고 해서 그게 남은건지 절제한건지 잘 못들었는데~  궁금하네요--->네네 ~ 나중에 의료 기록지인가 ? 실비 서류 뗄때 보니까 서류에도 나와 있더라구요 나중에 확인해 보세요 ㅋ--->통상 절제한 양을 말하긴합니다만... 만약 70%정도 잘라냈다면 특별히 조심하라거나 다른 이야기를 하셨을수도있구요--->웬만하면 수술 하지 마셔요관절에 칼 대는 순간 수술하고 개고생 입니다재활.보존치료 꾸준히 해보시고 정 안되겠다 싶으면 그때 하세요수술하면 나의 평범한 일상이 몇 달간 사라지고 재파열 우려로 또 맘고생해요--->저도 같은 생각입니다..--->수술도 해본적없고 이렇게 다친적도 처음인데 어떻게 해야될지 모르겠네요..4개월동안 충격파,주사,물리치료 다 받고 있는데 오히려 더 안좋아지고 있어요..--->10년전 30프로 절제했었는데결국 관리 못해서 나머지 다 작살나서 연골이식 했습니다 ㅠㅠ윗분 말씀처럼보존치료랑 재활운동 하시면서 생활해보세요..결론은 다치기 전과 같을수 없습니다.. 수술도 마찮가지 수술전후도 차이가 커요..--->4개월동안 이것저것 해보는데 오히려 더 안좋아지는것 같아서 고민이네요 ㅠㅠ--->공감합니다!!--->허벅지 근력운동 하고 계신가요?--->지금은 헬스장을 아예 안가고 있습니다 출퇴근 걸어다녀요--->근력운동 하셔야합니다--->운동을 할수록 더 아파지는것 같아서 안했는데 조금이라도 해야되겠네요--->https://youtu.be/OOzSZ1cl1vs?si=-up5EW8QGxWFWbhm참고해보세요--->저도 20프로 미만 절제 3개월 지낫고 아직 내리막이랑 계단 조굼 힘듭니다무거운거 드시는일이면 더 조심하셔야 할둣 절제는 회복이 빠루다고 하눈대 사람마다 다 틀린거 같아요--->첫 병원에서는 판독을 찢어진 조각이 관절에 껴서 빼고 절제수술해야된다 그랬는데 다른 병원도 한번 가보려구요 진짜 수술안했으면 좋겠네요..--->저랑 비슷하시네요. 저도 복합파열에 일부가 관절에 끼어있어 수술을 해야한다는 판단을 동일하게 받았습니다. 그래서 더 시간 끌지 않으려고 내일 수술합니다.--->아이고..수술 잘 되시길 바라겠습니다--->오랫만에 들어와서 글읽다가 댓글다네요최대한 수술 안하려고 해보시고 점점 더 안좋아지면 수술해야죠..근데 수술한다고 좋아지는건 꼭 아닙니다.저는 연골이 무릎을 긁고 있어서 관절염 때문에 어쩔수 없이 수술했는데스포츠재활받고 헬스하고 자전거타면서 재활하고 있지만 다치기전만큼 좋아지진 않았지만그래도 괜찮네요 허벅지 앞근육이 생각보다 잘 안붙고 다른곳은 근육 다 채웠네요수술해도 재활 및 관리하기 나름이고 수술 안해도 관리해야 합니다.선택은 정답이 없습니다. 본인이 선택하는 겁니다.반월상연골판 절제수술 하고 1년 되었는데현재는 의사선생님이 추천하진 않지만 농구 및 운동해도 된다고 하셨지만 또 다칠수 있다고 하셔서 참고 있습니다.건강 잘 챙기시길 바랍니다 ! 좋은 결과 있으시길 바래요--->댓글 감사합니다 그저께 서울쪽 병원 방문했는데 그쪽에서는 연골모양이 조금 기형이라 염증이 생긴것 같다고 하시네요 찢어진것 같지는 않다고 하셔서 어디가 맞는지 모르겠습니다 ㅠㅠ 일단 주사 맞고 약처방 받아왔는데 진짜 염증이었으면 좋겠네요--->제가 글 올린것에도 있지만 큰병원 2~3군데는 다녀보세요의사마다 의견 다 다릅니다.저도 보존 2명 수술 2명 의견 다 달랐습니다.염증이라면 정말 다행이죠저도 오다리에 코로나로 체중이 늘어서 무릎관절이 찢어질수밖에 없었을거 같다고 하시더라구요수술안해도 나빠지지않는다면 수술하지마세요전 수술하고 많이 좋아졌지만 진짜 고생하고 힘들었습니다..근육도 다빠져서 고생했고 수술 후 누워있으면서 우울감도 매우 컸었던거 같습니다.의사들은 아무것도 아닌거처럼 이야기 하지만 저에겐 매우 힘든 시간이였네요어쩔수 없을 경우에만 하세요 점점 안좋아진다든지 통증이 심해진다던지..염증이면 진짜 다행이신거예요 아껴주세요 ㅎㅎ--->근데 4개월째 주사,충격파,약복용 다 하고있는데 오히려 더 안좋아져서..그냥 염증이라고 하니 이게 맞나 싶어요 ㅠㅠ 2주뒤에 다시 가는데 조금이라도 호전됐으면 좋겠네요--->무릎관절 전문 병원갔을때 저도 염증인거 같다고 해서 염증주사 맞으려고 했었는데제가 mri 찍어보고 싶다고 해서 찍었는데 염증이 아니라 반월상연골판 찢어진거라고 하시더라구요mri 찢은거 있으시면 다른 병원도 꼭 가보세요..현재로써는 이곳 저곳 다녀보시는게 좋을거 같습니다.--->첫번째 병원에서 단순히 통증치료만 하다가 두번째병원에서 mri찍고 반월상연골판 찢어진것 같다 수술하자는 얘기를 들었어요 수술을 함부로 할수는 없어서 서울에 관절전문병원가서 mri보여드리니 자기가 봤을때는 이상없다고 하시네요..대학병원은 다녀본적이없는데 한번 가보기는 해야겠어요 계속 일하고 있는 상태라 시간내기도 힘들고 어렵네요 ㅠ--->최대한 시간내서 다른병원 의견도 들어보세요..글의 답변을 안해드렸네요일상생활 바로 가능하신분도 있고 안그런 경우도 있습니다.저 같은경우 일상생활 바로 가능하다고 했는데 한달정도는 고생했네요..다른글 쓰신것도 봤는데 연골이랑 무릎보호대랑 상관없다고 하셨어요보호대 오래하면 근육 빠져서 오히려 안좋다고 하셨던걸로 기억합니다.좋은 결과 있으시길 바랍니다 !--->좋은 말씀 감사합니다 저도 하루빨리 원인을 알고 고쳤으면 좋겠네요 빡쎄님도 고생많으셨습니다--->겪어보니 힘들었던 기억이라조금이라도 도움 드리고 싶어서 제경험에서 말씀드린건데조금이나 도움 되셨으면 좋겠네요주말 잘 마무리하시고 좋은 결과 있으실겁니다 ^^--->네 감사합니다 편안한밤 되십쇼 ㅎㅎ"
145584 [반월상연골판] 수술 후 내일 퇴원 합니다. 집에 가고 싶습니다ㅠㅠ 사진 [ 8 ],2023.09.19.,629,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) 월요일 수술 외측 반월상연골판 파열부분 10%제거 했습니다. ​ 수수술 시간은 40분정도 걸렸습니다. 마취풀리는거 대기까지해서 1시간 30분만에 수술실 에서 나올 수 있었습니다. ​ 10% 제거 한거라 수술 경과가 좋다 안좋다. 설명할 수준도 아닌거 같습니다. 마취는 하반신 마취에 수면 유도로 진행했습니다. 하반신 마취 기분이 아주 별로 입니다. 무서울 정도로 별로 입니다. ​ 15만원 무통 주사 신청해서 버튼누르면 척추로 약이 샥 하면서 들어 옵니다. 다시는 수술 안하고 싶습니다. 대변도 안나오고. 씻지도 목하고 죽을 맛 입니다. ​ 아 그리고 궁금 한게 있습니다. 수술 부위 물찬 느낌이 있는데. 이거 원래 그런 건지 궁금 합니다. ​",봉합술 받았었는데 주치쌤이 수술 후 보통 물이 찬다...시간이 지나며 흡수된다...였지만 전 주사기로 4개월차쯤 물을 한번 뺐어요.재활 무리하다가요. ㅎㅎ  퇴원 잘하시고 두번다시 수술하는 일은 없으시길요. 쾌유하시길 바랍니다.^^--->안녕하세요. 상세한 설명 감사합니다. 저도 조심 조심 하면서 치료 잘 받겠습니다.--->저도 20프로 미만 절제 햇습니다수술후 저도 붓고 물찬 느낌 잇엇는대 소독할때 보니 하나도 안부어 잇더라고요전 수술한지 90일 됏는대 전 회복이 좀 느린편이네요 아직 걷는것도 조금 절뚝거리고 내리막 계단 힘듬--->안녕하세요. 댓글 감사합니다. 저 이제 퇴원 합니다. 무릎이 부은건 아닌데 기분이 좀 이상합니다.  90일 이시면 석달 정도 되셨군요. 몸관리 잘 하셔서 빨리 호전 되시면 좋겠습니다. 감사합니다.--->깐돌닝  수술하고 후기 남기셨군요. 하반신 마취 허리랑 밑으로 싸하게 퍼지는 느낌 별로죠.ㅠ 저도 수술을 몇번해봤지만 젊었을 때라 그런지 웃으면서 지나갔죠. 지금 하면 걱정이  깐돌님 처럼 많아지겠죠.하지만 시간이 해결해 줄겁니다. 열심히 재활도 하시고 꼭 예전 모습으로 돌아 오실겁니다.수술은 ㅈㄱㅁ교수님이 하셨을까요?--->안녕하세요. 오늘 퇴원할려고 준비 하고 있습니다. 하반신 마취 정말 아찔합니다.2번은 경험하기 싫은 그런 기분입니다. 수술은 ㅂㅈㄱ 교수님이 해주셨습니다.절계한 부분이 크진 않아서 통증이 그렇게 심한건 아니었습니다.이제 재활 잘해서 건간한 모습으로  다시 글쓰겠습니다. 감사합니다.--->10프로는 너덜거리는거 다듬어도 그정도가 될거 같네요 제가 전문가는 아니지만 제 생각으로는 절제를 안한거나 다름 없지 않을까 생각합니다 40~50프로 하신분도 부지기수 같아요. 벌써 퇴원 하시군요. 저도 언제가는 깐돌님 따라가겠죠 ㅎ 퇴원 정신줄 잘 챙겨서 빠지거 없이 퇴원하세요--->네  맞습니다. 병원에서도 크게 대수롭지 않게 생각하는거 같습니다. 지금 다른 환자들 신경쓴다고 정신이 없습니다 ㅋㅋ아직 수술안하셨군요 ㅠㅠ 일정 잘 잡으셔서 빨리 잘 치료 받으세요 . 감사합니다.
145582 [반월상연골판] 반월상연골파열 1달 이후에요. [ 2 ],2023.09.19.,419,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 러닝을 무리했는지, 갑작스런 통증으로 오른쪽 무릎 반월상연골파열 진단받았습니다. 3주 약먹고 안나아서 주사치료 1번 맞았습니다. 앞으로 2회 더 남았구요!! 무릎은 처음보다는 많이 좋아진같은데, 오른쪽 골반과 발목이 쌔~~하니 욱씬거리는 이유는 뭘까요?? ㅜㅠ 이런 경험 있으신 분 계신가요??",힘의 균형이 안 맞으신듯 해요 저도 다친 그해 온몸이 돌아가면서 아프더라고요 운동치료 필라테스 하면서 보니 제가 아프니까 몸에 힘이 너무들어가고 걷는자세도 다 틀어지더라고요 치료와함께 운동도 해보세요--->네 다 나으면 운동치료 뭐라도해봐야겠어요..콘쥬란 2호 맞고 경과지켜보는 중입니다.
145580 [연골판봉합술] 수술후 첫 외래 [ 8 ],2023.09.19.,182,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 수술한지 2주가 흘렀고 첫 외래에 왔습니다. 봉합이 잘되었고 이제 정해진 재활을 하면 된다하셨습니다. 제가 다음주 불가피하게 해외로 가야해서 목발에 조금 제약이있다하니 최대한 조심하라 하시는데 목발을 하면서 수술한발 디디면서 조심히 걸으면... 다시 안터지겠죠??? 현재 보조기는 60도이며 60도굽히는데 전혀 지장은 없고 무릎통증도 없습니다 조기재활하신분이나 그걸 보신분있으면 조언해주시면 감사드리겠습니다 ㅜ",헐..전 2주차에90도.3주차에120도까지했는데발딛으란말은 아직까진 전혀없습니다! ..봉합부위 터질수도 있어서 무리지 않을까싶은데요ㅜ봉합은 체중싣는거 조심하라던데요--->저도 그냥 살짝살짝만 딛으라고만 하시더라구요불가피하면 최대한 조심히다니라는...ㅋㅋㅋ--->ㅋㅋ목발하면서 앞꿈치살짝 대보는데 발목이 찌릿하긴하더라구요ㅋㅋ살만해지니 이것저것 조금씩 시도하고싶긴하네요ㅋㅋ--->제가 지금 혼자 이걱저것 시도중이에요...ㅋㅋㅋ 목발집고 맘대로 걷거나... 짧게 이동할때는 그냥 걸어다니거나... 이러면 위험하겠죠?ㅠ--->굉장히 위험하지않을까요ㅋㅋ실수하는순간 ...--->보험으로 목발을 집고는있기는한데... 최대한 조심해야죠 ㅠㅠ--->봉합하셧으면 최대한 조심하셔야 해여 재수술 절대 할게 못되더라고여--->재수술해보셨나요?
145576 [반월상연골판] 오늘 진료보고 왔는데... [ 3 ],2023.09.19.,205,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) 교수님이 적극적으로 수술을 권유하지는 않으셨고 선택하라는 식으로 말씀하셨는데 그게 참 어렵네요ㅜㅜ 엄마 나이가 50대인데 수술하고 재활하는 과정 다 견디실 수 있을지 고민도 되고 근데 그대로 두자니 불편함이 있으시고... 교수님은 연골판 찢어지고 안쪽 연골이 조금 상했다고 하시면서 수술하게되면 봉합하고 뼈에 고정한다는식으로 말씀하셨는데 약간 반반처럼 말하셔서 헷갈리네요...",연골판 뿌리 파열인가여?--->후측 파열로 알고있어요ㅠ--->걱정이 많으시겠습니다ㅠㅠ 근데 의사가 너무 불확실하게 말을 하는 것처럼 느껴져서 제가 다 불안하네요..ㅜㅜ 저희 아버지가 올해 56세이신데 제작년에 무릎 수술을 받으셨어요. 근데 거의 5년을 편찮으셨거든요... 5년동안 수술이 고민 되었던 이유를 생각해보면 확실하게 말을 하는 의사를 만나지 못해서이지 않나 싶어요.. 막판에 저희 동네에 좋은 병원이 생겼다는 소문을 듣고 갔는데 새로 생긴 곳이면 과잉진료도 있을법 한데 그런거도 없고 저희 아버지 상태를 정말 정밀하게 봐주시더라고요.. 믿음이 중요한 것 같습니다ㅜㅜ 수술은 더더욱이요 ㅠㅠ 도움이 되셨으면 하는 바램입니다!
